@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
24,24,4,174,0.022472,0.5,0.857143,0.5,0.142857,0.631579,0.123894,4.035714,0.88843
24,24,3,175,0.016854,0.5,0.888889,0.5,0.111111,0.64,0.119469,4.185185,0.895953
22,26,3,175,0.016854,0.458333,0.88,0.458333,0.12,0.60274,0.110619,4.143333,0.908349
21,27,3,175,0.016854,0.4375,0.875,0.4375,0.125,0.583333,0.106195,4.119792,0.909539
17,31,3,175,0.016854,0.354167,0.85,0.354167,0.15,0.5,0.088496,4.002083,0.91247
14,34,3,175,0.016854,0.291667,0.823529,0.291667,0.176471,0.430769,0.075221,3.877451,0.919627
12,36,3,175,0.016854,0.25,0.8,0.25,0.2,0.380952,0.066372,3.766667,0.922112
9,39,3,175,0.016854,0.1875,0.75,0.1875,0.25,0.3,0.053097,3.53125,0.932747
9,39,2,176,0.011236,0.1875,0.818182,0.1875,0.181818,0.305085,0.048673,3.852273,0.93617
8,40,2,176,0.011236,0.166667,0.8,0.166667,0.2,0.275862,0.044248,3.766667,0.951998
4,44,1,177,0.005618,0.083333,0.8,0.083333,0.2,0.150943,0.022124,3.766667,0.957823
2,46,0,178,0,0.041667,1,0.041667,0,0.08,0.00885,?,0.977273
0,48,0,178,0,0,0,0,0,0,0,?,0.977283
